Group,Type,Question,CorrectAns,Answer1,Answer2,Answer3,Answer4,Answer5,CorrectExplanation,IncorrectExplanation
"Section 1",TMC,"Test for reducing sugars, EXCEPT:",2,"Benedict’s Test","Bial’s Test","Fehling’s Test","Barfoed’s Test",,"<meta charset=""utf-8""><meta charset=""utf-8""><b style=""font-weight:normal;"" id=""docs-internal-guid-f3e3b36d-7fff-ca88-cada-5843995f402c""><span style=""font-size:11pt;font-family:Arial,sans-serif;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;""><span style=""border:none;display:inline-block;overflow:hidden;width:385px;height:176px;""><img src=""https://lh7-us.googleusercontent.com/docsz/AD_4nXf8Q2DX_5QVgnXTw_0q_bShymdCjIkL3OEF7CpIfT89mRQC7t_zgRwr0w697XUPb3uPI7bGCBKym5lcUmPtX3K-pZ7b3gR3FW2gBAtXeXcfHS9kQlQth19XPmJy0AxLlzsUDhXjpBZ1qOfGdWGGbm1Xq5r2?key=SxseFoa8jsNyVl6YTsreZw"" width=""385"" height=""176"" style=""margin-left:0px;margin-top:0px;""></span></span></b><br>","<meta charset=""utf-8""><meta charset=""utf-8""><b style=""font-weight:normal;"" id=""docs-internal-guid-f3e3b36d-7fff-ca88-cada-5843995f402c""><span style=""font-size:11pt;font-family:Arial,sans-serif;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;""><span style=""border:none;display:inline-block;overflow:hidden;width:385px;height:176px;""><img src=""https://lh7-us.googleusercontent.com/docsz/AD_4nXf8Q2DX_5QVgnXTw_0q_bShymdCjIkL3OEF7CpIfT89mRQC7t_zgRwr0w697XUPb3uPI7bGCBKym5lcUmPtX3K-pZ7b3gR3FW2gBAtXeXcfHS9kQlQth19XPmJy0AxLlzsUDhXjpBZ1qOfGdWGGbm1Xq5r2?key=SxseFoa8jsNyVl6YTsreZw"" width=""385"" height=""176"" style=""margin-left:0px;margin-top:0px;""></span></span></b><br>"
"Section 1",TMC,"Which of the following is used as a dental analgesic?",3,Camphor,Menthol,Eugenol,Thymol,,"<ul><li>Clove oil 🡪 Eugenol – dental analgesic</li><li>Camphor 🡪 (+) natural camphor; (-) synthetic camphor – antipruritic, rubefacient&nbsp;</li><li>Peppermint oil 🡪 Menthol – flavorant, carminative</li><li>Thyme oil 🡪 Thymol – antifungal</li></ul>","<meta charset=""utf-8""><ul><li>Clove oil 🡪 Eugenol – dental analgesic</li><li>Camphor 🡪 (+) natural camphor; (-) synthetic camphor – antipruritic, rubefacient&nbsp;</li><li>Peppermint oil 🡪 Menthol – flavorant, carminative</li><li>Thyme oil 🡪 Thymol – antifungal</li></ul>"
"Section 1",TMC,"Embalming agent used by the Egyptians to mask the odor of the dead body",2,Asafetida,Myrrh,Formaldehyde,Clay,,"<meta charset=""utf-8""><meta charset=""utf-8""><b style=""font-weight:normal;"" id=""docs-internal-guid-c11b7f46-7fff-00ca-80b9-5ff5f4f86616""><span style=""font-size:11pt;font-family:Arial,sans-serif;color:#000000;background-color:transparent;font-weight:700;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">Myrrh</span><span style=""font-size:11pt;font-family:Arial,sans-serif;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">, isolated from </span><span style=""font-size:11pt;font-family:Arial,sans-serif;color:#000000;background-color:transparent;font-weight:400;font-style:italic;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">Commiphora molmol</span><span style=""font-size:11pt;font-family:Arial,sans-serif;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">, is an oleogum resin that is used as an embalming fluid and astringent. </span></b><br>","<meta charset=""utf-8""><meta charset=""utf-8""><b style=""font-weight:normal;"" id=""docs-internal-guid-c11b7f46-7fff-00ca-80b9-5ff5f4f86616""><span style=""font-size:11pt;font-family:Arial,sans-serif;color:#000000;background-color:transparent;font-weight:700;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">Myrrh</span><span style=""font-size:11pt;font-family:Arial,sans-serif;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">, isolated from </span><span style=""font-size:11pt;font-family:Arial,sans-serif;color:#000000;background-color:transparent;font-weight:400;font-style:italic;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">Commiphora molmol</span><span style=""font-size:11pt;font-family:Arial,sans-serif;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;"">, is an oleogum resin that is used as an embalming fluid and astringent. </span></b><br>"
"Section 1",TMC,"Stone of immortality",4,Codeine,Morphine,Cocaine,Opium,,"Opium<br><ul><li>Referred by Paracelsus as the “Stone of immortality”</li><li>He made a drug preparation called laudanum which contained opium as one of its primary ingredients. It was used to for relief of pain and treatment of many other complaints. </li></ul>","<meta charset=""utf-8"">Opium<br><ul><li>Referred by Paracelsus as the “Stone of immortality”</li><li>He made a drug preparation called laudanum which contained opium as one of its primary ingredients. It was used to for relief of pain and treatment of many other complaints.</li></ul><br>"
"Section 1",TMC,"A plant hormone that induces seed dormancy and stomata closure thereby helping the plants resist unfavorable growth conditions",4,Auxin,Gibberellin,Cytokinin,"Abscisic acid",,"<meta charset=""utf-8""><meta charset=""utf-8""><b style=""font-weight:normal;"" id=""docs-internal-guid-2a1af103-7fff-83ae-5758-7aedeac436ac""><span style=""font-size:11pt;font-family:Arial,sans-serif;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;""><span style=""border:none;display:inline-block;overflow:hidden;width:384px;height:207px;""><img src=""https://lh7-us.googleusercontent.com/docsz/AD_4nXduKKLGASe1RQVaEYjNbZ5qFJtgnXIh2ef2B43QHHPPNubMokDICgL-2Rs56bhH9gp71cVfLJcvLImke0s1gjNCPw8PTULl9VcuWiovTE4pVKK0YMfZSNb1lIeYIFR2lkz1aXz93hLqtpyfiRb26bJwtCOx?key=SxseFoa8jsNyVl6YTsreZw"" width=""384"" height=""207"" style=""margin-left:0px;margin-top:0px;""></span></span></b><br>","<meta charset=""utf-8""><meta charset=""utf-8""><b style=""font-weight:normal;"" id=""docs-internal-guid-2a1af103-7fff-83ae-5758-7aedeac436ac""><span style=""font-size:11pt;font-family:Arial,sans-serif;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;""><span style=""border:none;display:inline-block;overflow:hidden;width:384px;height:207px;""><img src=""https://lh7-us.googleusercontent.com/docsz/AD_4nXduKKLGASe1RQVaEYjNbZ5qFJtgnXIh2ef2B43QHHPPNubMokDICgL-2Rs56bhH9gp71cVfLJcvLImke0s1gjNCPw8PTULl9VcuWiovTE4pVKK0YMfZSNb1lIeYIFR2lkz1aXz93hLqtpyfiRb26bJwtCOx?key=SxseFoa8jsNyVl6YTsreZw"" width=""384"" height=""207"" style=""margin-left:0px;margin-top:0px;""></span></span></b><br>"
"Section 1",TMC,"He discovered Morphine",2,"R. Brandes","F. Serturner","P. Robiquet","J. Caventou",,"<ul><li>Pierre Robiquet: discovered Codeine</li><li>Pierre Joseph Pelletier &amp; Joseph Caventou: isolated Quinine</li><li>Rudolf Brandes: discovered Atropine</li></ul>","<meta charset=""utf-8""><ul><li>Pierre Robiquet: discovered Codeine</li><li>Pierre Joseph Pelletier &amp; Joseph Caventou: isolated Quinine</li><li>Rudolf Brandes: discovered Atropine</li><li><br></li></ul>"
"Section 1",TMC,"Solvent used to extract chlorophyll",1,Acetone,Alcohol,"Dilute acid",Hexane,,"<meta charset=""utf-8""><meta charset=""utf-8""><b style=""font-weight:normal;"" id=""docs-internal-guid-a87d4f32-7fff-eb14-7b7e-84b2259cbc39""><span style=""font-size:12pt;font-family:'Times New Roman',serif;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;""><span style=""border:none;display:inline-block;overflow:hidden;width:338px;height:200px;""><img src=""https://lh7-us.googleusercontent.com/docsz/AD_4nXeZTikX2lwZynQ3W70Uwk3d_MVp5mSQ_GFDCtAObBxJwm74RFTWdDVLmkci9GkbwbHLCg6qF4ReTTAS4NFCTAs64qTrKslFuX660kIrg7Pgp7NjxSH4wYWWc2LgyHZX3O5JNJAbn3mdG6lRa58NPRf9zpo?key=SxseFoa8jsNyVl6YTsreZw"" width=""338"" height=""200"" style=""margin-left:0px;margin-top:0px;""></span></span></b><br>","<meta charset=""utf-8""><meta charset=""utf-8""><b style=""font-weight:normal;"" id=""docs-internal-guid-a87d4f32-7fff-eb14-7b7e-84b2259cbc39""><span style=""font-size:12pt;font-family:'Times New Roman',serif;color:#000000;background-color:transparent;font-weight:400;font-style:normal;font-variant:normal;text-decoration:none;vertical-align:baseline;white-space:pre;white-space:pre-wrap;""><span style=""border:none;display:inline-block;overflow:hidden;width:338px;height:200px;""><img src=""https://lh7-us.googleusercontent.com/docsz/AD_4nXeZTikX2lwZynQ3W70Uwk3d_MVp5mSQ_GFDCtAObBxJwm74RFTWdDVLmkci9GkbwbHLCg6qF4ReTTAS4NFCTAs64qTrKslFuX660kIrg7Pgp7NjxSH4wYWWc2LgyHZX3O5JNJAbn3mdG6lRa58NPRf9zpo?key=SxseFoa8jsNyVl6YTsreZw"" width=""338"" height=""200"" style=""margin-left:0px;margin-top:0px;""></span></span></b><br>"
"Section 1",TMC,"Mother of all healing arts",4,"Papyrus ebers","Traditional medicine","Herbal medicine",Ayurveda,,"Ayurveda<br><ul><li>“Ayuh” (life or vital power)</li><li>“vedah” (knowledge)</li><li>Science of Life; Mother of all healing arts</li></ul>","<meta charset=""utf-8"">Ayurveda<br><ul><li>“Ayuh” (life or vital power)</li><li>“vedah” (knowledge)</li><li>Science of Life; Mother of all healing arts</li></ul><br>"
"Section 1",TMC,"The substance responsible for the swelling property of tragacanth.",2,Arabin,Bassorin,Tragacanthin,Galactomannan,,"Tragacanth<br><ul><li>66% Bassorin (swells)&nbsp;</li><li>34% Tragacanthin (non-gelling; thickener)</li></ul>","<meta charset=""utf-8"">Tragacanth<br><ul><li>66% Bassorin (swells)&nbsp;</li><li>34% Tragacanthin (non-gelling; thickener)</li></ul><br>"
"Section 1",TMC,"Components of Compound Benzoin Tincture:I.  Benzoic acidII.  StyraxIII. AloeIV. Tolu balsam",3,"I, II, III","I, III, IV","II, III, IV","All of the above",,"Compound Benzoin Tincture:<br>“BEATS”<br><ul><li>Benzoin&nbsp;</li><li>Ethanol&nbsp;</li><li>Aloe</li><li>Tolu balsam&nbsp;</li><li>Storax/Styrax</li></ul>","<meta charset=""utf-8"">Compound Benzoin Tincture:<br>“BEATS”<br><ul><li>Benzoin&nbsp;</li><li>Ethanol&nbsp;</li><li>Aloe</li><li>Tolu balsam&nbsp;</li><li>Storax/Styrax</li></ul><br>"
